gbm	categ
CACNA2D1	1
RP1	1
ZFAT	1
COL24A1	1
PLXNA4	1
NXPH3	1
PCDH11Y	1
SLC22A9	1
CACNA1C	1
WASH2P	1
KSR2	1
SERPINB3	1
C19orf26	1
NINL	1
HIST1H1D	1
MYO1B	1
MPDU1	1
CIITA	1
CCDC88C	1
SLCO6A1	1
TRAK2	1
SRCAP	1
FAM47A	1
ZNF284	1
TMEM132D	1
GPR162	1
GPR179	1
NEIL1	1
ZNF16	1
SLC26A3	1
MN1	1
MRGPRX2	1
MYO3A	1
COL2A1	1
SDK2	1
MAST4	1
RFX6	1
SYT16	1
CDH9	1
CRYBA2	1
MYO7A	1
TMEM254	1
POTEE	1
FRG2B	1
ABCA7	1
ADCY5	1
SLC1A6	1
TRAF5	1
DCC	1
TRIO	1
PTPRT	1
CCDC60	1
NUP210L	1
SOSTDC1	1
HLA-DRB5	1
PTPN3	1
DLG5	1
MEGF8	1
GRK6	1
KLHL17	1
FAM160A2	1
CCNH	1
OR4N2	1
GRM3	1
SRSF11	1
CPS1	1
NCOA3	1
PREX1	1
TRHDE	1
NUP98	1
CELSR1	1
NLRP12	1
SLC24A3	1
BRWD1	1
UGT1A1	1
MED23	1
CNGA3	1
B3GNT8	1
GNPAT	1
AXDND1	1
RAB21	1
NBAS	1
PCDH19	1
CXXC5	1
NPHP3	1
ZNF99	1
UGT2B10	1
TGM6	1
SEC16A	1
MYH14	1
UGT2B28	1
RABL6	1
GLT6D1	1
MYH1	1
SLC5A7	1
KIAA1244	1
CNTNAP3B	1
TONSL	1
CYFIP2	1
MST1P9	1
EVPL	1
EPHA7	1
CUBN	1
ASTL	1
STIL	1
NRDE2	1
NR4A1	1
BTBD11	1
CHL1	1
DCAF12L2	1
PARD3	1
SULT1B1	1
NAALADL1	1
SVEP1	1
IFT122	1
C10orf113	1
ARAP3	1
AOC1	1
PAN3	1
PRKD3	1
POLA1	1
CALN1	1
FLII	1
CUX1	1
ASXL3	1
PUF60	1
IRX4	1
HYOU1	1
TNXB	1
NOS1	1
ASPM	1
NIPAL4	1
ZNF407	1
PCDHB10	1
TNFRSF8	1
TUBA3C	1
LCP1	1
COL12A1	1
HMGCS1	1
TSPAN31	1
NLRP3	1
CALCR	1
PCDHB3	1
MYOM1	1
TRPM3	1
MUC21	1
PTH2R	1
HIPK2	1
MOV10L1	1
NTRK3	1
ANKRD30B	1
NHS	1
SAMD9	1
MRC2	1
CYP26A1	1
LRFN5	1
AFF2	1
TMEM2	1
PDE4DIP	1
PTPN11	1
ABCD1	1
CROCC	1
KIF13A	1
SCN7A	1
SH2B1	1
SAMD9L	1
DYNC1H1	1
MYO1A	1
GPATCH8	1
NAV2	1
GABRA1	1
DDX46	1
WDR63	1
CR2	1
GABRQ	1
FAM83H	1
PSG3	1
FBXO15	1
FBLN2	1
USP20	1
MSLN	1
KRT75	1
ZNF143	1
IGF1R	1
SEMA3E	1
UGT2A3	1
CMYA5	1
PPP1R3A	1
AKR1E2	1
SIRT7	1
NLRP1	1
TLL1	1
ZFHX3	1
KPRP	1
DENND4B	1
TRPA1	1
CEP350	1
CAMK2B	1
ZNF208	1
NLRP4	1
FAM123C	1
SPTB	1
ITIH6	1
IQGAP3	1
LGMN	1
OVGP1	1
PTCHD3	1
GAS6	1
TMPRSS7	1
COL5A1	1
DOCK6	1
FHOD3	1
CARD11	1
ROBO1	1
ODZ2	1
CDH19	1
GPR116	1
AGRN	1
BLMH	1
BRCA1	1
EIF2B5	1
ATP13A5	1
COL14A1	1
EFEMP2	1
ZNF689	1
ZFP112	1
PKP2	1
CELSR3	1
CDH23	1
ANKRD20A9P	1
POTEM	1
RPL5	1
SETX	1
GOLGA2	1
MPRIP	1
ITGA9	1
TRPV6	1
CLIP1	1
SREBF2	1
STXBP5L	1
SIM1	1
HOXA11	1
TMED6	1
OR8K3	1
DZIP1L	1
BRD4	1
SLC38A10	1
CSPG4	1
NDST4	1
POLR3B	1
PTPRF	1
PALM2-AKAP2	1
SMC1A	1
NPAP1	1
EPG5	1
TMPRSS15	1
NRXN1	1
ACAN	1
NOX3	1
RPTN	1
DOCK10	1
POTEH	1
TEP1	1
POLR1A	1
PAQR9	1
PCDHB5	1
POLRMT	1
RIMS1	1
NLRP7	1
ZC3H7B	1
KIF4B	1
AQP10	1
FRG1	1
SLC4A10	1
NUP188	1
ITPR3	1
DYNC1I1	1
TDRD6	1
GRM8	1
KIF15	1
MYCBP2	1
TMPRSS9	1
ELN	1
SLC35F3	1
RRS1	1
KRTAP4-7	1
MYO7B	1
RALGAPA2	1
TRAPPC8	1
CNTNAP5	1
ZNF845	1
ARHGEF40	1
TPO	1
PTPRD	1
WDFY3	1
VAV2	1
COL6A5	1
PIK3CB	1
DTX2	1
BMPER	1
IL18RAP	1
MVP	1
SCN1A	1
SLCO4A1	1
AHSG	1
SLIT2	1
